Ad_ID,Company_Campaign_ID,FB_campaign_ID,Age,Gender,interest,Impressions,Clicks,Spent,Ctr,Cpc,Conversion_Rate,Cpa,Gender_Encoded
776631,936,115536,42,M,29,10960,2,2.890000105,0.0001824817518248,1.4450000525,0.5,2.890000105,0
951021,936,123597,32,F,7,457,0,0.0,0.0,0.0,0.0,0.0,1
738582,936,109848,47,F,10,46150,15,20.17999983,0.0003250270855904,1.345333322,0.0666666666666666,20.17999983,1
1314321,1178,179888,37,M,110,233845,30,40.73000062,0.0001282901066946,1.3576666873333332,0.1,13.576666873333332,0
1121390,1178,144588,37,M,31,15513,1,1.289999962,6.44620640752917e-05,1.289999962,1.0,1.289999962,0
1121894,1178,144672,37,F,10,561415,124,173.76,0.0002208704790573,1.401290322580645,0.0241935483870967,57.92,1
736997,936,109473,32,M,29,1895,0,0.0,0.0,0.0,0.0,0.0,0
1121469,1178,144602,42,M,20,399035,75,124.7999995,0.0001879534376683,1.6639999933333334,0.0933333333333333,17.828571357142856,0
1121123,1178,144536,32,M,20,171202,22,36.53000021,0.0001285031716919,1.6604545549999998,0.1363636363636363,12.176666736666666,0
776697,936,115547,32,M,10,4132,0,0.0,0.0,0.0,0.0,0.0,0
1314366,1178,179933,32,F,110,99020,10,14.48000044,0.0001009896990506,1.448000044,0.4,3.62000011,1
777627,936,115715,47,M,16,157534,33,56.19000077,0.000209478588749,1.702727296060606,0.0606060606060606,28.095000385,0
1121779,1178,144653,32,F,21,271589,45,74.41000032,0.0001656915412627,1.6535555626666665,0.2,8.267777813333332,1
708958,916,103952,32,M,28,9502,3,3.159999967,0.000315723005683,1.0533333223333334,0.3333333333333333,3.159999967,0
1121119,1178,144535,32,M,19,345371,54,93.08999991,0.000156353602358,1.7238888872222222,0.1296296296296296,13.298571415714289,0
1121599,1178,144623,47,M,15,250960,42,64.87999952,0.0001673573477845,1.5447618933333334,0.0476190476190476,32.43999976,0
